Date,GV6_0025,IGN-GV6_0006
2021-08-31T22:09:43.000Z,26.2,
2021-08-31T22:19:43.000Z,26.1,
2021-08-31T22:29:43.000Z,26.1,
2021-08-31T22:39:43.000Z,26.1,
2021-08-31T22:49:43.000Z,26,
2021-08-31T22:59:43.000Z,26,
2021-08-31T23:09:43.000Z,26,
2021-08-31T23:19:43.000Z,25.9,
2021-08-31T23:29:43.000Z,25.9,
2021-08-31T23:39:43.000Z,25.8,
2021-08-31T23:49:43.000Z,25.8,
2021-08-31T23:59:43.000Z,25.8,
2021-09-01T00:09:43.000Z,25.8,
2021-09-01T00:19:43.000Z,25.8,
2021-09-01T00:29:43.000Z,25.7,
2021-09-01T00:39:43.000Z,25.7,
2021-09-01T00:49:43.000Z,25.7,
2021-09-01T00:59:43.000Z,25.7,
2021-09-01T01:09:43.000Z,25.6,
2021-09-01T01:19:43.000Z,25.6,
2021-09-01T01:29:43.000Z,25.6,
2021-09-01T01:39:43.000Z,25.5,
2021-09-01T01:49:43.000Z,25.5,
2021-09-01T01:59:43.000Z,25.5,
2021-09-01T02:09:43.000Z,25.5,
2021-09-01T02:19:43.000Z,25.5,
2021-09-01T02:29:43.000Z,25.4,
2021-09-01T02:39:43.000Z,25.4,
2021-09-01T02:49:43.000Z,25.3,
2021-09-01T02:59:43.000Z,25.3,
2021-09-01T03:09:43.000Z,25.3,
2021-09-01T03:19:43.000Z,25.2,
2021-09-01T03:29:43.000Z,25.3,
2021-09-01T03:39:43.000Z,25.3,
2021-09-01T03:49:43.000Z,25.2,
2021-09-01T03:59:43.000Z,25.2,
2021-09-01T04:09:43.000Z,25.2,
2021-09-01T04:19:43.000Z,25.2,
2021-09-01T04:29:43.000Z,25.1,
2021-09-01T04:39:43.000Z,25,
2021-09-01T04:49:43.000Z,25.1,
2021-09-01T04:59:43.000Z,25.1,
2021-09-01T05:09:43.000Z,25.1,
2021-09-01T05:19:43.000Z,25.1,
2021-09-01T05:29:43.000Z,25.1,
2021-09-01T05:39:43.000Z,25.1,
2021-09-01T05:49:43.000Z,25.1,
2021-09-01T05:59:43.000Z,25.1,
2021-09-01T06:09:43.000Z,25,
2021-09-01T06:19:43.000Z,24.9,
2021-09-01T06:29:43.000Z,24.9,
2021-09-01T06:39:43.000Z,24.7,
2021-09-01T06:49:43.000Z,24.8,
2021-09-01T06:59:43.000Z,24.7,
2021-09-01T07:09:43.000Z,24.9,
2021-09-01T07:19:43.000Z,25,
2021-09-01T07:29:43.000Z,25.2,
2021-09-01T07:39:43.000Z,25.2,
2021-09-01T07:49:43.000Z,25.3,
2021-09-01T07:59:43.000Z,25.4,
2021-09-01T08:09:43.000Z,25.6,
2021-09-01T08:19:43.000Z,25.7,
2021-09-01T08:29:43.000Z,25.8,
2021-09-01T08:39:43.000Z,25.9,
2021-09-01T08:49:43.000Z,26,
2021-09-01T08:59:43.000Z,26.1,
2021-09-01T09:09:43.000Z,26.2,
2021-09-01T09:19:43.000Z,26.2,
2021-09-01T09:29:43.000Z,26.3,
2021-09-01T09:39:43.000Z,26.4,
2021-09-01T09:49:43.000Z,26.5,
2021-09-01T09:59:43.000Z,26.5,
2021-09-01T10:09:43.000Z,26.6,
2021-09-01T10:19:43.000Z,26.8,
2021-09-01T10:29:43.000Z,26.8,
2021-09-01T10:39:43.000Z,26.7,
2021-09-01T10:49:43.000Z,26.8,
2021-09-01T10:59:43.000Z,26.9,
2021-09-01T11:09:43.000Z,27,
2021-09-01T11:19:43.000Z,27.1,
2021-09-01T11:29:43.000Z,27.3,
2021-09-01T11:39:43.000Z,27.4,
2021-09-01T11:49:43.000Z,27.6,
2021-09-01T11:59:43.000Z,27.7,
2021-09-01T12:09:43.000Z,27.8,
2021-09-01T12:19:43.000Z,27.8,
2021-09-01T12:29:43.000Z,27.9,
2021-09-01T12:39:43.000Z,28,
2021-09-01T12:49:43.000Z,28.1,
2021-09-01T12:59:43.000Z,28.2,
2021-09-01T13:09:43.000Z,28.3,
2021-09-01T13:19:43.000Z,28.3,
2021-09-01T13:29:43.000Z,28.4,
2021-09-01T13:39:43.000Z,28.5,
2021-09-01T13:49:43.000Z,28.7,
2021-09-01T13:59:43.000Z,28.7,
2021-09-01T14:09:43.000Z,28.7,
2021-09-01T14:19:43.000Z,28.7,
2021-09-01T14:29:43.000Z,28.7,
2021-09-01T14:39:43.000Z,28.7,
2021-09-01T14:59:43.000Z,28.8,
2021-09-01T15:09:43.000Z,28.9,
2021-09-01T15:19:43.000Z,28.9,
2021-09-01T15:29:43.000Z,28.8,
2021-09-01T15:39:43.000Z,28.7,
2021-09-01T15:49:43.000Z,28.6,
2021-09-01T15:59:43.000Z,28.5,
2021-09-01T16:09:43.000Z,28.5,
2021-09-01T16:19:43.000Z,28.5,
2021-09-01T16:29:43.000Z,28.4,
2021-09-01T16:39:43.000Z,28.3,
2021-09-01T16:49:43.000Z,28.2,
2021-09-01T16:59:43.000Z,28.1,
2021-09-01T17:09:43.000Z,28.1,
2021-09-01T17:19:43.000Z,27.9,
2021-09-01T17:29:43.000Z,27.8,
2021-09-01T17:39:43.000Z,27.7,
2021-09-01T17:49:43.000Z,27.4,
2021-09-01T17:59:43.000Z,27.4,
2021-09-01T18:09:43.000Z,27.3,
2021-09-01T18:19:43.000Z,27.3,
2021-09-01T18:29:43.000Z,27,
2021-09-01T18:39:43.000Z,26.9,
2021-09-01T18:49:43.000Z,26.8,
2021-09-01T18:59:43.000Z,26.7,
2021-09-01T19:09:43.000Z,26.8,
2021-09-01T19:19:43.000Z,26.8,
2021-09-01T19:29:43.000Z,26.6,
2021-09-01T19:39:43.000Z,26.4,
2021-09-01T19:49:43.000Z,26.4,
2021-09-01T19:59:43.000Z,26.3,
2021-09-01T20:09:43.000Z,26.3,
2021-09-01T20:19:43.000Z,26,
2021-09-01T20:29:43.000Z,26,
2021-09-01T20:39:43.000Z,25.9,
2021-09-01T20:49:43.000Z,26,
2021-09-01T20:59:43.000Z,26,
2021-09-01T21:09:43.000Z,26.1,
2021-09-01T21:19:43.000Z,26.1,
2021-09-01T21:29:43.000Z,26.1,
2021-09-01T21:39:43.000Z,26,
2021-09-01T21:49:43.000Z,25.9,
2021-09-01T21:59:43.000Z,25.9,
2021-09-01T22:09:43.000Z,26,
2021-09-01T22:19:43.000Z,26,
2021-09-01T22:29:43.000Z,25.9,
2021-09-01T22:39:43.000Z,25.9,
2021-09-01T22:49:43.000Z,25.8,
2021-09-01T22:59:43.000Z,25.8,
2021-09-01T23:09:43.000Z,25.8,
2021-09-01T23:19:43.000Z,25.7,
2021-09-01T23:29:43.000Z,25.7,
2021-09-01T23:39:43.000Z,25.7,
2021-09-01T23:49:43.000Z,25.7,
2021-09-01T23:59:43.000Z,25.6,
2021-09-02T00:09:43.000Z,25.6,
2021-09-02T00:19:43.000Z,25.5,
2021-09-02T00:29:43.000Z,25.5,
2021-09-02T00:39:43.000Z,25.5,
2021-09-02T00:49:43.000Z,25.5,
2021-09-02T00:59:43.000Z,25.5,
2021-09-02T01:09:43.000Z,25.5,
2021-09-02T01:19:43.000Z,25.5,
2021-09-02T01:29:43.000Z,25.5,
2021-09-02T01:39:43.000Z,25.4,
2021-09-02T01:49:43.000Z,25.4,
2021-09-02T01:59:43.000Z,25.3,
2021-09-02T02:09:43.000Z,25.3,
2021-09-02T02:19:43.000Z,25.3,
2021-09-02T02:29:43.000Z,25.3,
2021-09-02T02:39:43.000Z,25.3,
2021-09-02T02:49:43.000Z,25.3,
2021-09-02T02:59:43.000Z,25.2,
2021-09-02T03:09:43.000Z,25.2,
2021-09-02T03:19:43.000Z,25.2,
2021-09-02T03:29:43.000Z,25.2,
2021-09-02T03:39:43.000Z,25.1,
2021-09-02T03:49:43.000Z,25.1,
2021-09-02T03:59:43.000Z,25.1,
2021-09-02T04:09:43.000Z,25.1,
2021-09-02T04:19:43.000Z,25,
2021-09-02T04:29:43.000Z,25,
2021-09-02T04:39:43.000Z,25,
2021-09-02T04:49:43.000Z,25,
2021-09-02T04:59:43.000Z,25,
2021-09-02T05:09:43.000Z,24.9,
2021-09-02T05:19:43.000Z,24.9,
2021-09-02T05:29:43.000Z,24.9,
2021-09-02T05:39:43.000Z,24.8,
2021-09-02T05:49:43.000Z,24.8,
2021-09-02T05:59:43.000Z,24.9,
2021-09-02T06:09:43.000Z,24.8,
2021-09-02T06:19:43.000Z,24.8,
2021-09-02T06:29:43.000Z,24.8,
2021-09-02T06:39:43.000Z,24.8,
2021-09-02T06:49:43.000Z,24.9,
2021-09-02T06:59:43.000Z,24.9,
2021-09-02T07:09:43.000Z,25,
2021-09-02T07:19:43.000Z,24.2,
2021-09-02T07:29:43.000Z,24.2,
2021-09-02T07:39:43.000Z,24.5,
2021-09-02T07:49:43.000Z,24.7,
2021-09-02T07:59:43.000Z,24.8,
2021-09-02T08:09:43.000Z,24.9,
2021-09-02T08:19:43.000Z,25,
2021-09-02T08:29:43.000Z,25.1,
2021-09-02T08:39:43.000Z,25.2,
2021-09-02T08:49:43.000Z,25.4,
2021-09-02T08:59:43.000Z,25.5,
2021-09-02T09:09:43.000Z,25.6,
2021-09-02T09:19:43.000Z,25.7,
2021-09-02T09:29:43.000Z,25.7,
2021-09-02T09:39:43.000Z,25.7,
2021-09-02T09:49:43.000Z,25.7,
2021-09-02T09:59:43.000Z,25.8,
2021-09-02T10:09:43.000Z,25.9,
2021-09-02T10:19:43.000Z,26.1,
2021-09-02T10:29:43.000Z,26.3,
2021-09-02T10:39:43.000Z,26.5,
2021-09-02T10:49:43.000Z,26.5,
2021-09-02T10:59:43.000Z,26.6,
2021-09-02T11:09:43.000Z,26.8,
2021-09-02T11:19:43.000Z,26.9,
2021-09-02T11:29:43.000Z,27,
2021-09-02T11:39:43.000Z,27.2,
2021-09-02T11:49:43.000Z,27.3,
2021-09-02T11:59:43.000Z,27.4,
2021-09-02T12:09:43.000Z,27.6,
2021-09-02T12:19:43.000Z,27.7,
2021-09-02T12:29:43.000Z,27.8,
2021-09-02T12:39:43.000Z,27.9,
2021-09-02T12:49:43.000Z,28,
2021-09-02T12:59:43.000Z,28.1,
2021-09-02T13:09:43.000Z,28.2,
2021-09-02T13:19:43.000Z,28.3,
2021-09-02T13:29:43.000Z,28.4,
2021-09-02T13:39:43.000Z,28.5,
2021-09-02T13:49:43.000Z,28.5,
2021-09-02T13:59:43.000Z,28.6,
2021-09-02T14:09:43.000Z,28.7,
2021-09-02T14:19:43.000Z,28.7,
2021-09-02T14:29:43.000Z,28.8,
2021-09-02T14:39:43.000Z,28.9,
2021-09-02T14:49:43.000Z,28.8,
2021-09-02T14:59:43.000Z,28.8,
2021-09-02T15:09:43.000Z,28.8,
