Date,GV6_0025,IGN-GV6_0006,GV6_0010
2021-08-31T22:00:00.000Z,,,
2021-08-31T22:09:42.000Z,1015.333,,
2021-08-31T22:19:42.000Z,1015.393,,
2021-08-31T22:29:42.000Z,1015.481,,
2021-08-31T22:39:42.000Z,1015.531,,
2021-08-31T22:49:42.000Z,1015.697,,
2021-08-31T22:59:42.000Z,1015.639,,
2021-08-31T23:09:42.000Z,1015.603,,
2021-08-31T23:19:42.000Z,1015.743,,
2021-08-31T23:29:42.000Z,1015.808,,
2021-08-31T23:39:42.000Z,1015.954,,
2021-08-31T23:49:42.000Z,1015.904,,
2021-08-31T23:59:42.000Z,1015.94,,
2021-09-01T00:09:42.000Z,1015.97,,
2021-09-01T00:19:42.000Z,1016.05,,
2021-09-01T00:29:42.000Z,1016,,
2021-09-01T00:39:42.000Z,1016.025,,
2021-09-01T00:49:42.000Z,1016.021,,
2021-09-01T00:59:42.000Z,1016.096,,
2021-09-01T01:09:42.000Z,1016.077,,
2021-09-01T01:19:42.000Z,1016.1,,
2021-09-01T01:29:42.000Z,1016.006,,
2021-09-01T01:39:42.000Z,1015.99,,
2021-09-01T01:49:42.000Z,1016.046,,
2021-09-01T01:59:42.000Z,1016.03,,
2021-09-01T02:09:42.000Z,1016.001,,
2021-09-01T02:19:42.000Z,1016.112,,
2021-09-01T02:29:42.000Z,1016.201,,
2021-09-01T02:39:42.000Z,1016.17,,
2021-09-01T02:49:42.000Z,1016.204,,
2021-09-01T02:59:42.000Z,1016.203,,
2021-09-01T03:09:42.000Z,1016.276,,
2021-09-01T03:19:42.000Z,1016.201,,
2021-09-01T03:29:42.000Z,1016.21,,
2021-09-01T03:39:42.000Z,1016.09,,
2021-09-01T03:49:42.000Z,1016.162,,
2021-09-01T03:59:42.000Z,1016.212,,
2021-09-01T04:09:42.000Z,1016.191,,
2021-09-01T04:19:42.000Z,1016.267,,
2021-09-01T04:29:42.000Z,1016.197,,
2021-09-01T04:39:42.000Z,1016.318,,
2021-09-01T04:49:42.000Z,1016.455,,
2021-09-01T04:59:42.000Z,1016.502,,
2021-09-01T05:09:42.000Z,1016.421,,
2021-09-01T05:19:42.000Z,1016.401,,
2021-09-01T05:29:42.000Z,1016.565,,
2021-09-01T05:39:42.000Z,1016.588,,
2021-09-01T05:49:42.000Z,1016.564,,
2021-09-01T05:59:42.000Z,1016.56,,
2021-09-01T06:09:42.000Z,1016.597,,
2021-09-01T06:19:42.000Z,1016.449,,
2021-09-01T06:29:42.000Z,1016.419,,
2021-09-01T06:39:42.000Z,1016.437,,
2021-09-01T06:49:42.000Z,1016.382,,
2021-09-01T06:59:42.000Z,1016.462,,
2021-09-01T07:09:42.000Z,1016.427,,
2021-09-01T07:19:42.000Z,1016.328,,
2021-09-01T07:29:42.000Z,1016.221,,
2021-09-01T07:39:42.000Z,1016.176,,
2021-09-01T07:49:42.000Z,1016.301,,
2021-09-01T07:59:42.000Z,1016.23,,
2021-09-01T08:09:42.000Z,1016.179,,
2021-09-01T08:19:42.000Z,1016.275,,
2021-09-01T08:29:42.000Z,1016.182,,
2021-09-01T08:39:42.000Z,1016.277,,
2021-09-01T08:49:42.000Z,1016.234,,
2021-09-01T08:59:42.000Z,1016.389,,
2021-09-01T09:09:42.000Z,1016.306,,
2021-09-01T09:19:42.000Z,1016.249,,
2021-09-01T09:29:42.000Z,1016.313,,
2021-09-01T09:39:42.000Z,1016.071,,
2021-09-01T09:49:42.000Z,1016.044,,
2021-09-01T09:59:42.000Z,1016.139,,
2021-09-01T10:09:42.000Z,1016.036,,
2021-09-01T10:19:42.000Z,1015.955,,
2021-09-01T10:29:42.000Z,1015.982,,
2021-09-01T10:39:42.000Z,1015.863,,
2021-09-01T10:49:42.000Z,1015.67,,
2021-09-01T10:59:42.000Z,1015.618,,
2021-09-01T11:09:42.000Z,1015.557,,
2021-09-01T11:19:42.000Z,1015.497,,
2021-09-01T11:29:42.000Z,1015.359,,
2021-09-01T11:39:42.000Z,1015.356,,
2021-09-01T11:49:42.000Z,1015.334,,
2021-09-01T11:59:42.000Z,1015.432,,
2021-09-01T12:09:42.000Z,1015.411,,
2021-09-01T12:19:42.000Z,1015.393,,
2021-09-01T12:29:42.000Z,1015.393,,
2021-09-01T12:39:42.000Z,1015.287,,
