serie,titre,tome,isbn,genre,nom_s,prenom_s,nom_d,prenom_d,editeur,date_parution
Kookaburra Universe,Le serment dakoïd,6,2849464872,Science-Fiction,Mitric, Nicolas,Péru, Olivier,Soleil Productions,2006-06-20
Les naufragés d'Ythaq,Le soupir des étoiles,3,2849464937,Héroic - Fantasy,Arleston, Christophe,Floch, Adrien,Soleil Productions,2006-06-28
Trolls de Troy,Les prisonniers du Darshan,9,2849464988,Héroic - Fantasy,Arleston, Christophe,Mourier, Jean-Louis,Soleil Productions,2006-08-23
Kookaburra,Retour à Terradoes,5,2849465593,Science-Fiction,Crisse, Didier,Mitric, Nicolas,Soleil Productions,2006-09-06
Mygala,Insurrection,2,2849465631,Science-Fiction,Di Giorgio, Jean-François,Genêt, Frédéric,Soleil Productions,2006-09-06
Lanfeust des étoiles,Le râle du flibustier,6,2849466417,Héroic - Fantasy,Arleston, Christophe,Tarquin, Didier,Soleil Productions,2006-12-01
Le syndrome de Caïn,Projet cold fusion,1,2849467073,Aventures Fantastiques,Tackian, Nicolas,Red,,Soleil Productions,2007-01-23
Trolls de Troy,Les enragés du Darshan,10,2849468509,Héroic - Fantasy,Arleston, Christophe,Mourier, Jean-Louis,Soleil Productions,2007-06-20
Dossier tueurs en série,Le vampire de Sacramento,2,2849468983,Polar-Thriller,Mosdi, Thomas,Collectif,,Soleil Productions,2007-09-26
Le syndrome de Caïn,Le conseil des ombres,2,2849469416,Aventures Fantastiques,Tackian, Nicolas,Red,,Soleil Productions,2007-09-26
Péchés mignons,Chasse à l'homme,2,2858150389,Humour,De Pins, Arthur,De Pins, Arthur,Audie,2007-09-14
L'étoffe des zéros,L'étoffe des zéros,1,2858151547,Humour,Héran, Jean-Marc,Héran, Jean-Marc,Audie,1992-04-12
Sous le signe du verso,"Sous le signe du verso, Tome 1",1,2858152012,Humour,Collectif,,Collectif,,Audie,1995-05-10
Litteul Kevin,"Litteul Kevin, Tome 3",3,2858152047,Humour,Coyote,,Coyote,,Audie,1995-11-01
Litteul Kevin,"Litteul Kevin, Tome 4",4,2858152160,Humour,Coyote,,Coyote,,Audie,1996-11-01
Sous le signe du verso,"Sous le signe du verso, Tome 2",2,2858152829,Humour,Collectif,,Collectif,,Audie,2000-04-01
Les superhéros injustement méconnus,Les superhéros injustement méconnus,0,2858152918,Humour,Larcenet, Manu,Larcenet, Manu,Audie,2001-02-01
Guide de la survie en entreprise,Guide de la survie en entreprise,,2858154341,Humour,Larcenet, Manu,Larcenet, Manu,Audie,2005-05-12
Péchés mignons,Péchés mignons,1,2858154937,Humour,De Pins, Arthur,De Pins, Arthur,Audie,2006-09-14
Péchés mignons,Garce Attack !,3,2858158347,Humour,Mazaurette, Maïa,De Pins, Arthur,Audie,2008-11-05
Une aventure d'Astérix le Gaulois ,Le grand fossé,25,2864970007,Aventures Humoristiques,Uderzo, Albert,Uderzo, Albert,Albert-René,1980-04-01
Une aventure d'Astérix le Gaulois ,Le fils d'Astérix,27,2864970112,Aventures Humoristiques,Uderzo, Albert,Uderzo, Albert,Albert-René,1983-10-01
Une aventure d'Astérix le Gaulois ,Astérix chez Rahazade,28,2864970201,Aventures Humoristiques,Uderzo, Albert,Uderzo, Albert,Albert-René,1987-10-01
Une aventure d'Astérix le Gaulois ,La rose et le glaive,29,2864970538,Aventures Humoristiques,Uderzo, Albert,Uderzo, Albert,Albert-René,1991-11-01
Une aventure d'Astérix le Gaulois ,La galère d'Obélix,30,2864970961,Aventures Humoristiques,Uderzo, Albert,Uderzo, Albert,Albert-René,1996-07-01
Une aventure d'Astérix le Gaulois ,Astérix et Latraviata,31,2864971437,Aventures Humoristiques,Uderzo, Albert,Uderzo, Albert,Albert-René,2001-03-01
Astérix (En corse),Astérix gira é volta... à a scola,32,2864971666,Aventures Humoristiques,Uderzo, Albert,Uderzo, Albert,Albert-René,1993-01-01
Une aventure d'Astérix le Gaulois ,Le ciel lui tombe sur la tête,33,2864971704,Aventures Humoristiques,Uderzo, Albert,Uderzo, Albert,Albert-René,2005-10-01
Peter Pan,Londres,1,2869671155,Aventure,Loisel, Régis,Loisel, Régis,Vents d'Ouest,1990-11-01
Peter Pan,Opikanoba,2,2869671911,Aventure,Loisel, Régis,Loisel, Régis,Vents d'Ouest,1992-09-01
